                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.53124,                0.75617,                0.66497,                0.99288,                  0.622,                0.57236,                0.63178,                0.45116,                  0.512,                 0.4362,                 0.4553,                0.28822,                 1.3276,                 3.1084,                 1.9511,                 1.4281,              0.0069617,              0.0069617,              0.0069617
                     91,                0.54407,                0.75989,                0.67161,                0.96011,                0.81276,                  0.477,                 0.6271,                0.44819,                 0.4408,                0.43106,                0.44364,                0.28755,                 1.2956,                 3.1843,                 1.8701,                 1.4304,              0.0069276,              0.0069276,              0.0069276
                     92,                0.52631,                0.75168,                0.67751,                0.98088,                0.71541,                0.50879,                0.61443,                0.44608,                0.60662,                0.34364,                0.42951,                0.28231,                 1.2856,                 3.1985,                 1.8777,                 1.4241,              0.0068934,              0.0068934,              0.0068934
                     93,                0.49263,                 0.7497,                 0.6174,                 0.9405,                0.73685,                0.54975,                0.62835,                0.43848,                0.59723,                0.36941,                0.43842,                0.29027,                 1.3257,                 3.4292,                 1.8615,                 1.4347,              0.0068593,              0.0068593,              0.0068593
                     94,                0.48501,                0.71711,                0.60288,                 0.9488,                0.74001,                0.53891,                0.61611,                0.43631,                0.56815,                0.36951,                0.43201,                0.28453,                 1.3172,                  3.284,                 1.9099,                 1.4371,              0.0068252,              0.0068252,              0.0068252
                     95,                0.52058,                0.73755,                0.65237,                0.96035,                 0.6497,                0.53662,                0.61373,                0.44349,                0.55064,                0.37254,                 0.4274,                0.28413,                 1.2907,                 3.1493,                  1.931,                 1.4396,               0.006791,               0.006791,               0.006791
                     96,                0.49593,                0.68742,                0.61171,                0.94168,                0.69047,                0.53712,                0.61508,                0.44279,                0.59834,                0.37175,                0.42565,                0.28893,                 1.2926,                 3.1687,                 1.9603,                 1.4434,              0.0067569,              0.0067569,              0.0067569
                     97,                0.50676,                0.67617,                0.62681,                0.95714,                0.78348,                0.50777,                0.60129,                0.42429,                0.66353,                 0.3364,                0.42658,                0.28028,                 1.4377,                 3.1799,                  2.003,                 1.5274,              0.0067228,              0.0067228,              0.0067228
                     98,                0.47947,                0.69179,                0.61118,                 0.9512,                0.73697,                0.51838,                0.59751,                0.42373,                0.63465,                0.34759,                0.41919,                0.27438,                 1.4055,                 3.0752,                 2.0517,                 1.5204,              0.0066886,              0.0066886,              0.0066886
                     99,                0.49686,                0.76451,                0.63856,                0.95487,                0.80087,                0.52704,                0.59681,                0.41623,                0.68946,                 0.3585,                0.42502,                0.28152,                 1.4872,                 3.1824,                 2.0508,                 1.5587,              0.0066545,              0.0066545,              0.0066545
